date,hidrocarburti
26/10/2021,1416.3677
26/10/2021,1450.9327
27/10/2021,1455.9987
28/10/2021,1526.4767
29/10/2021,1487.1079
30/10/2021,1458.8131
30/10/2021,1463.9619
30/10/2021,1458.8131
30/10/2021,1463.9619
31/10/2021,1252.1042
01/11/2021,1349.2566
02/11/2021,1217.0216
03/11/2021,1232.8677
04/11/2021,1297.6923
04/11/2021,1480.9763
04/11/2021,1297.6923
04/11/2021,1480.9763
05/11/2021,1357.0654
06/11/2021,1324.935
07/11/2021,1030.0266
07/11/2021,1143.8693
07/11/2021,1030.0266
07/11/2021,1143.8693
08/11/2021,1372.0238
09/11/2021,1525.6002
09/11/2021,1477.4801
09/11/2021,1525.6002
09/11/2021,1477.4801
10/11/2021,1454.5239
11/11/2021,1569.8044
12/11/2021,1556.5525
12/11/2021,1558.6508
12/11/2021,1556.5525
12/11/2021,1558.6508
13/11/2021,1528.2577
14/11/2021,1376.0807
15/11/2021,1277.7449
15/11/2021,1465.3624
15/11/2021,1277.7449
15/11/2021,1465.3624
16/11/2021,1605.3228
17/11/2021,1605.1398
17/11/2021,1603.0415
17/11/2021,1605.1398
17/11/2021,1603.0415
18/11/2021,1599.259
19/11/2021,1558.6508
20/11/2021,1528.2577
21/11/2021,1386.2938
22/11/2021,1602.4595
22/11/2021,1385.4122
22/11/2021,1602.4595
22/11/2021,1385.4122
23/11/2021,1515.3195
24/11/2021,1586.9146
25/11/2021,1601.3573
25/11/2021,1472.3043
25/11/2021,1601.3573
25/11/2021,1472.3043
26/11/2021,1527.0979
27/11/2021,1530.356
28/11/2021,1391.2554
28/11/2021,1391.2554
28/11/2021,1391.2554
28/11/2021,1391.2554
29/11/2021,1376.692
30/11/2021,1552.5701
30/11/2021,1607.421
30/11/2021,1552.5701
30/11/2021,1607.421
01/12/2021,1726.3547
02/12/2021,1722.5723
03/12/2021,1678.5704
03/12/2021,1679.8657
03/12/2021,1678.5704
03/12/2021,1679.8657
04/12/2021,1651.5709
05/12/2021,1512.4703
06/12/2021,1727.3407
06/12/2021,1599.583
06/12/2021,1727.3407
06/12/2021,1599.583
07/12/2021,1697.0833
08/12/2021,1726.3547
08/12/2021,1725.0594
08/12/2021,1726.3547
08/12/2021,1725.0594
09/12/2021,1673.8317
