date,hidro
25/11/2021,1141.9474
25/11/2021,1141.9474
25/11/2021,1141.9474
26/11/2021,1140.7979
27/11/2021,1032.6244
28/11/2021,1031.4749
28/11/2021,1031.4749
28/11/2021,1031.4749
28/11/2021,1031.4749
29/11/2021,1140.7979
30/11/2021,1275.6227
30/11/2021,1211.9006
30/11/2021,1275.6227
30/11/2021,1211.9006
01/12/2021,1255.0837
02/12/2021,1298.3424
03/12/2021,1287.3701
03/12/2021,1266.0079
03/12/2021,1287.3701
03/12/2021,1266.0079
04/12/2021,1145.7605
05/12/2021,1145.7605
06/12/2021,1255.0837
06/12/2021,1256.2333
06/12/2021,1255.0837
06/12/2021,1256.2333
07/12/2021,1256.6332
08/12/2021,1257.7827
08/12/2021,1259.3197
08/12/2021,1257.7827
08/12/2021,1259.3197
09/12/2021,1257.8473
10/12/2021,1374.0493
11/12/2021,1224.6595
11/12/2021,1149.6736
11/12/2021,1224.6595
11/12/2021,1149.6736
12/12/2021,1147.3099
13/12/2021,1257.7827
14/12/2021,1414.6195
14/12/2021,1328.8855
14/12/2021,1414.6195
14/12/2021,1328.8855
15/12/2021,1257.7827
16/12/2021,1436.558
17/12/2021,1529.2806
18/12/2021,1532.1216
18/12/2021,1457.1111
18/12/2021,1532.1216
18/12/2021,1457.1111
19/12/2021,1296.1995
20/12/2021,1297.2053
21/12/2021,1298.3549
21/12/2021,1804.463
21/12/2021,1298.3549
21/12/2021,1804.463
22/12/2021,1725.8842
23/12/2021,1257.7827
24/12/2021,1298.3549
25/12/2021,1147.3099
26/12/2021,1147.3099
26/12/2021,1147.3099
26/12/2021,1147.3099
26/12/2021,1147.3099
27/12/2021,1256.6332
28/12/2021,1257.7827
29/12/2021,1414.6195
29/12/2021,1543.8441
29/12/2021,1414.6195
29/12/2021,1543.8441
30/12/2021,1563.101
31/12/2021,1498.7909
31/12/2021,1468.1675
31/12/2021,1498.7909
31/12/2021,1468.1675
01/01/2022,1272.739
02/01/2022,1341.8611
03/01/2022,1372.3365
03/01/2022,1373.4861
03/01/2022,1372.3365
03/01/2022,1373.4861
04/01/2022,1372.3365
05/01/2022,1530.3226
06/01/2022,1647.0844
06/01/2022,1772.13
06/01/2022,1647.0844
06/01/2022,1772.13
07/01/2022,1726.1561
08/01/2022,1511.1519
09/01/2022,1569.5968
09/01/2022,1526.2308
09/01/2022,1569.5968
09/01/2022,1526.2308
10/01/2022,1484.9816
11/01/2022,1578.1758
12/01/2022,1721.5895
12/01/2022,1578.1758
12/01/2022,1721.5895
12/01/2022,1578.1758
13/01/2022,1721.5895
14/01/2022,1578.1758
14/01/2022,1756.9656
14/01/2022,1578.1758
14/01/2022,1756.9656
15/01/2022,1357.3259
16/01/2022,1344.432
17/01/2022,1411.8429
17/01/2022,1511.6891
17/01/2022,1411.8429
17/01/2022,1511.6891
18/01/2022,1445.5397
19/01/2022,1404.6232
20/01/2022,1514.4271
21/01/2022,1445.5397
21/01/2022,1530.3226
21/01/2022,1445.5397
21/01/2022,1530.3226
22/01/2022,1357.3259
23/01/2022,1275.3099
24/01/2022,1409.0569
25/01/2022,1372.3365
25/01/2022,1891.9226
25/01/2022,1372.3365
25/01/2022,1891.9226
26/01/2022,1774.1522
27/01/2022,1404.6232
27/01/2022,1420.4036
27/01/2022,1404.6232
27/01/2022,1420.4036
28/01/2022,1372.3365
29/01/2022,1276.4595
30/01/2022,1276.4595
30/01/2022,1280.6902
30/01/2022,1276.4595
30/01/2022,1280.6902
31/01/2022,1373.5507
01/02/2022,1373.4861
02/02/2022,1373.4861
03/02/2022,1373.4861
05/02/2022,1275.3099
06/02/2022,1275.3099
08/02/2022,1372.3365
09/02/2022,1373.4861
10/02/2022,1373.4861
12/02/2022,1276.4595
13/02/2022,1275.3099
14/02/2022,1372.3365
15/02/2022,1372.3365
16/02/2022,1373.4861
18/02/2022,1373.4861
19/02/2022,1275.3099
21/02/2022,1374.7113
22/02/2022,1391.765
24/02/2022,1549.7511
25/02/2022,1622.9547
26/02/2022,1607.1492
28/02/2022,1767.3716
01/03/2022,1641.1405
02/03/2022,1700.5513
03/03/2022,1572.0309
05/03/2022,1463.6427
06/03/2022,1445.8119
08/03/2022,1392.9146
09/03/2022,1432.4209
