temp,pot,,avg_t_200,,avg_t_100,,avg_p_100,,,t2,p2,,ta,ta100,,tp,tp50
68.662511,-1.080992,,70.44041934,,70.50255287,,-1.086880444,,,,-0.39484991,,68.632297,70.01381381,,-1.8664098,-1.863842556
71.839691,-1.0894524,,70.44256992,,70.51108897,,-1.087053423,,,,-0.3943118,,67.559113,70.02804266,,-1.861897,-1.864097302
66.768738,-1.0738897,,70.4382553,,70.47419662,,-1.087119159,,,,-0.39450147,,66.512517,70.11106402,,-1.8536443,-1.864299642
71.54549,-1.0843399,,70.45751321,,70.48887479,,-1.087343291,,,,-0.39274381,,69.009706,70.14625453,,-1.8531467,-1.864794922
73.346731,-1.0814673,,70.45481414,,70.48575814,,-1.087532006,,,,-0.39461558,,73.271775,70.15482086,,-1.8586228,-1.865157226
74.92041,-1.0771082,,70.43604542,,70.45911522,,-1.087706068,,,,-0.39351536,,70.445414,70.13078382,,-1.8468421,-1.865556346
71.819622,-1.0630355,,70.40365891,,70.42308757,,-1.087898344,,,,-0.3941864,,68.23361,70.13491865,,-1.8409907,-1.866209598
70.795072,-1.0590809,,70.38619331,,70.40570804,,-1.088116684,,,,-0.3952934,,69.104177,70.15731688,,-1.8450548,-1.86703124
67.027404,-1.0493944,,70.38624646,,70.42200409,,-1.088349785,,,,-0.39567151,,69.757053,70.13300896,,-1.8481206,-1.867827536
66.901443,-1.0530636,,70.41382154,,70.48717488,,-1.08866317,,,,-0.39703392,,73.552708,70.11620712,,-1.8601112,-1.868625128
69.703221,-1.0669064,,70.44924301,,70.53323007,,-1.088870938,,,,-0.3951036,,70.047071,70.09027521,,-1.8539801,-1.869310694
68.493816,-1.070448,,70.46701057,,70.54099551,,-1.08893321,,,,-0.39576258,,68.039647,70.0899857,,-1.8538276,-1.870162558
68.599465,-1.0769701,,70.4683356,,70.55981561,,-1.089005667,,,,-0.39642288,,68.768737,70.08094071,,-1.8601463,-1.870863386
71.915727,-1.0909298,,70.47556695,,70.57848805,,-1.089072214,,,,-0.39500177,,69.225401,70.06571627,,-1.8641583,-1.871276556
71.934857,-1.0969556,,70.46301713,,70.58263144,,-1.089133264,,,,-0.39562267,,68.796831,70.05644449,,-1.8635113,-1.871610952
72.817355,-1.1072556,,70.46077247,,70.58586099,,-1.089182386,,,,-0.39439368,,66.742447,70.05332667,,-1.8547752,-1.871904218
71.055332,-1.1084836,,70.45096185,,70.55317198,,-1.089071079,,,,-0.39178099,,68.471114,70.09271701,,-1.8548788,-1.872494342
69.359433,-1.106676,,70.44739405,,70.5120963,,-1.088876476,,,,-0.39587557,,72.370742,70.11348856,,-1.8599046,-1.873007108
67.477003,-1.1005991,,70.45985165,,70.51877722,,-1.088783453,,,,-0.394871,,70.315274,70.12615174,,-1.851401,-1.873205096
66.67835,-1.0936517,,70.46420203,,70.53445638,,-1.088714018,,,,-0.39664865,,71.197402,70.13548539,,-1.8544362,-1.873444488
71.149072,-1.1010222,,70.46875459,,70.5590461,,-1.088697181,,,,-0.39529099,,69.883667,70.14902675,,-1.8528301,-1.873723568
70.150214,-1.0947644,,70.44546844,,70.56073829,,-1.088624813,,,,-0.39544688,,71.654101,70.16200473,,-1.8604979,-1.873958504
71.848385,-1.0989286,,70.43166072,,70.5642841,,-1.088523811,,,,-0.39705841,,72.189123,70.12391871,,-1.8676251,-1.874011248
68.769539,-1.0908449,,70.4246968,,70.57545602,,-1.088387362,,,,-0.3982504,,69.788117,70.08545664,,-1.8675728,-1.874024776
70.720462,-1.097593,,70.42718782,,70.58947188,,-1.088209089,,,,-0.39875977,,66.865579,70.06247813,,-1.8630562,-1.873975826
