date,biomass
27/01/2022,67.858475
27/01/2022,70.481125
28/01/2022,70.28959
29/01/2022,69.61476
30/01/2022,67.20148
30/01/2022,62.84269
30/01/2022,67.20148
30/01/2022,62.84269
31/01/2022,56.88834
01/02/2022,68.11875
02/02/2022,72.2388
03/02/2022,70.872055
05/02/2022,71.83367
06/02/2022,69.893105
08/02/2022,73.45638
09/02/2022,76.080696
10/02/2022,77.98659
12/02/2022,77.120224
13/02/2022,74.30131
14/02/2022,75.04978
15/02/2022,75.04978
16/02/2022,77.92259
18/02/2022,77.38943
19/02/2022,75.08424
21/02/2022,76.67002
22/02/2022,75.04978
24/02/2022,77.92259
25/02/2022,77.38943
26/02/2022,75.08424
28/02/2022,78.2074
01/03/2022,76.67002
02/03/2022,76.44921
03/03/2022,77.98659
05/03/2022,77.120224
06/03/2022,69.95709
08/03/2022,72.53652
09/03/2022,73.27385
